Pose Partition Network for Multi-Person Pose Estimation [Train and Val Phase]
Loading training json file: dataset/mpi/jsons/MPI_MP_TRAIN_annotations.json...
Finished loading training json file
Loading validation json file: dataset/mpi/jsons/MPI_MP_VAL_annotations.json...
Finished loading evaluation json file
Epoch: [1][1/615] 	CurLR: 0.003 	Loss 8.686899 (8.686899)	BatchTime 22.091 (22.091) 	
Epoch: [1][10/615] 	CurLR: 0.003 	Loss 0.160168 (11.842507)	BatchTime 1.551 (3.627) 	
Epoch: [1][20/615] 	CurLR: 0.003 	Loss 0.123902 (5.988503)	BatchTime 1.672 (2.613) 	
Epoch: [1][30/615] 	CurLR: 0.003 	Loss 0.074110 (4.023439)	BatchTime 1.555 (2.285) 	
Epoch: [1][40/615] 	CurLR: 0.003 	Loss 0.085572 (3.038576)	BatchTime 1.634 (2.120) 	
Epoch: [1][50/615] 	CurLR: 0.003 	Loss 0.072448 (2.445261)	BatchTime 1.560 (2.013) 	
Epoch: [1][60/615] 	CurLR: 0.003 	Loss 0.091084 (2.050990)	BatchTime 1.575 (1.948) 	
Epoch: [1][70/615] 	CurLR: 0.003 	Loss 0.062949 (1.768449)	BatchTime 1.566 (1.899) 	
Epoch: [1][80/615] 	CurLR: 0.003 	Loss 0.073196 (1.556488)	BatchTime 1.563 (1.866) 	
Epoch: [1][90/615] 	CurLR: 0.003 	Loss 0.070036 (1.391510)	BatchTime 1.552 (1.837) 	
Epoch: [1][100/615] 	CurLR: 0.003 	Loss 0.087527 (1.260557)	BatchTime 1.640 (1.816) 	
Epoch: [1][110/615] 	CurLR: 0.003 	Loss 0.089636 (1.153940)	BatchTime 1.617 (1.799) 	
Epoch: [1][120/615] 	CurLR: 0.003 	Loss 0.080288 (1.064438)	BatchTime 1.580 (1.784) 	
Epoch: [1][130/615] 	CurLR: 0.003 	Loss 0.075540 (0.988052)	BatchTime 1.569 (1.773) 	
Epoch: [1][140/615] 	CurLR: 0.003 	Loss 0.083811 (0.923181)	BatchTime 1.552 (1.761) 	
Epoch: [1][150/615] 	CurLR: 0.003 	Loss 0.080337 (0.867688)	BatchTime 1.582 (1.752) 	
Epoch: [1][160/615] 	CurLR: 0.003 	Loss 0.089173 (0.818808)	BatchTime 1.604 (1.744) 	
Epoch: [1][170/615] 	CurLR: 0.003 	Loss 0.096773 (0.776886)	BatchTime 1.607 (1.737) 	
Epoch: [1][180/615] 	CurLR: 0.003 	Loss 0.092343 (0.739043)	BatchTime 1.541 (1.730) 	
Epoch: [1][190/615] 	CurLR: 0.003 	Loss 0.087690 (0.704700)	BatchTime 1.576 (1.724) 	
Epoch: [1][200/615] 	CurLR: 0.003 	Loss 0.088011 (0.673711)	BatchTime 1.589 (1.718) 	
Epoch: [1][210/615] 	CurLR: 0.003 	Loss 0.110821 (0.646397)	BatchTime 1.573 (1.713) 	
Epoch: [1][220/615] 	CurLR: 0.003 	Loss 0.098799 (0.621953)	BatchTime 1.650 (1.709) 	
Epoch: [1][230/615] 	CurLR: 0.003 	Loss 0.098841 (0.599245)	BatchTime 1.619 (1.706) 	
Epoch: [1][240/615] 	CurLR: 0.003 	Loss 0.105241 (0.578423)	BatchTime 1.589 (1.702) 	
Epoch: [1][250/615] 	CurLR: 0.003 	Loss 0.098907 (0.559325)	BatchTime 1.613 (1.699) 	
Epoch: [1][260/615] 	CurLR: 0.003 	Loss 0.113032 (0.542083)	BatchTime 1.606 (1.695) 	
Epoch: [1][270/615] 	CurLR: 0.003 	Loss 0.109044 (0.525874)	BatchTime 1.575 (1.692) 	
Epoch: [1][280/615] 	CurLR: 0.003 	Loss 0.106299 (0.510859)	BatchTime 1.655 (1.689) 	
Epoch: [1][290/615] 	CurLR: 0.003 	Loss 0.115152 (0.496968)	BatchTime 1.578 (1.686) 	
Epoch: [1][300/615] 	CurLR: 0.003 	Loss 0.113359 (0.484046)	BatchTime 1.672 (1.684) 	
Epoch: [1][310/615] 	CurLR: 0.003 	Loss 0.105709 (0.472166)	BatchTime 1.564 (1.682) 	
Epoch: [1][320/615] 	CurLR: 0.003 	Loss 0.108114 (0.460807)	BatchTime 1.578 (1.680) 	
Epoch: [1][330/615] 	CurLR: 0.003 	Loss 0.104207 (0.450203)	BatchTime 1.616 (1.678) 	
Epoch: [1][340/615] 	CurLR: 0.003 	Loss 0.114255 (0.440161)	BatchTime 1.582 (1.675) 	
Epoch: [1][350/615] 	CurLR: 0.003 	Loss 0.107471 (0.430840)	BatchTime 1.990 (1.674) 	
Epoch: [1][360/615] 	CurLR: 0.003 	Loss 0.110882 (0.421855)	BatchTime 1.586 (1.672) 	
Epoch: [1][370/615] 	CurLR: 0.003 	Loss 0.118225 (0.413639)	BatchTime 1.588 (1.670) 	
Epoch: [1][380/615] 	CurLR: 0.003 	Loss 0.104620 (0.405688)	BatchTime 1.555 (1.668) 	
Epoch: [1][390/615] 	CurLR: 0.003 	Loss 0.102903 (0.397833)	BatchTime 1.569 (1.667) 	
Epoch: [1][400/615] 	CurLR: 0.003 	Loss 0.115919 (0.390833)	BatchTime 1.588 (1.666) 	
Epoch: [1][410/615] 	CurLR: 0.003 	Loss 0.110864 (0.384236)	BatchTime 1.589 (1.664) 	
Epoch: [1][420/615] 	CurLR: 0.003 	Loss 0.119191 (0.377697)	BatchTime 1.566 (1.663) 	
Epoch: [1][430/615] 	CurLR: 0.003 	Loss 0.122921 (0.371739)	BatchTime 1.711 (1.662) 	
Epoch: [1][440/615] 	CurLR: 0.003 	Loss 0.103946 (0.365809)	BatchTime 1.563 (1.660) 	
Epoch: [1][450/615] 	CurLR: 0.003 	Loss 0.106467 (0.359876)	BatchTime 1.571 (1.659) 	
Epoch: [1][460/615] 	CurLR: 0.003 	Loss 0.107238 (0.354297)	BatchTime 1.619 (1.658) 	
Epoch: [1][470/615] 	CurLR: 0.003 	Loss 0.120676 (0.349171)	BatchTime 1.551 (1.657) 	
Epoch: [1][480/615] 	CurLR: 0.003 	Loss 0.121072 (0.344328)	BatchTime 1.586 (1.656) 	
Epoch: [1][490/615] 	CurLR: 0.003 	Loss 0.114311 (0.339654)	BatchTime 1.624 (1.655) 	
Epoch: [1][500/615] 	CurLR: 0.003 	Loss 0.088706 (0.334853)	BatchTime 1.975 (1.654) 	
Epoch: [1][510/615] 	CurLR: 0.003 	Loss 0.098151 (0.330166)	BatchTime 1.566 (1.653) 	
Epoch: [1][520/615] 	CurLR: 0.003 	Loss 0.120481 (0.325841)	BatchTime 1.569 (1.653) 	
Epoch: [1][530/615] 	CurLR: 0.003 	Loss 0.127837 (0.321991)	BatchTime 1.577 (1.652) 	
Epoch: [1][540/615] 	CurLR: 0.003 	Loss 0.104729 (0.318101)	BatchTime 1.570 (1.651) 	
Epoch: [1][550/615] 	CurLR: 0.003 	Loss 0.097711 (0.314051)	BatchTime 1.616 (1.651) 	
Epoch: [1][560/615] 	CurLR: 0.003 	Loss 0.095808 (0.310137)	BatchTime 1.562 (1.650) 	
